,disco_35_0,disco_35_1,disco_35_2,ssim_35_0,ssim_35_1,ssim_35_2,pearson_35_0,pearson_35_1,pearson_35_2,psnr_35_0,psnr_35_1,psnr_35_2,hicrep_34_0,hicrep_34_1,hicrep_34_2
0,0.8804,0.8459,0.86096,0.91868,0.87964,0.82756,0.95267,0.91681,0.90541,31.72099,33.01319,31.462,0.67748,0.58338,0.58759
1,0.88019,0.85071,0.86726,0.92336,0.88354,0.84064,0.9543,0.92355,0.9121,31.96656,32.96848,31.81223,0.7062,0.62008,0.65059
2,0.88359,0.86856,0.86637,0.92675,0.89344,0.81238,0.95549,0.92454,0.9084,32.36754,34.00867,30.54954,0.75176,0.67822,0.66846
3,0.88305,0.84011,0.85005,0.92598,0.87164,0.86805,0.95584,0.92531,0.92281,32.17171,31.87487,32.6384,0.73285,0.58641,0.63351
4,0.88674,0.8717,0.8705,0.92861,0.89516,0.83087,0.95627,0.92581,0.91275,32.59597,34.24641,31.46771,0.76937,0.70035,0.66591
5,0.88699,0.87594,0.87307,0.92904,0.89536,0.85444,0.95689,0.92611,0.91924,32.59221,34.25033,32.24442,0.76876,0.70915,0.67355
6,0.88735,0.84415,0.8561,0.9294,0.87255,0.87096,0.95674,0.92648,0.92452,32.63309,31.84722,32.62526,0.77072,0.61482,0.64404
7,0.88492,0.87481,0.87337,0.92851,0.8979,0.88038,0.95627,0.92796,0.92697,32.41414,34.19216,33.22413,0.76554,0.70678,0.66479
8,0.88829,0.87589,0.87485,0.93003,0.8979,0.86769,0.95716,0.92677,0.92354,32.73605,34.46405,32.83708,0.78172,0.72494,0.68693
9,0.88884,0.87857,0.87624,0.93078,0.89789,0.88039,0.95726,0.92695,0.92754,32.81204,34.52553,33.37433,0.78716,0.73131,0.69103
10,0.88839,0.87958,0.87744,0.93141,0.89881,0.87734,0.95748,0.92778,0.92701,32.80591,34.53259,33.21656,0.79134,0.73574,0.69634
11,0.89108,0.87755,0.87703,0.93222,0.9009,0.8664,0.95845,0.92907,0.92512,32.92073,34.50383,32.65413,0.79282,0.7335,0.68572
12,0.89126,0.88008,0.87884,0.93073,0.89611,0.87085,0.95875,0.92716,0.92646,32.81763,34.46812,32.9063,0.7962,0.73779,0.70264
13,0.89166,0.8809,0.87934,0.9321,0.89998,0.87619,0.9589,0.92871,0.92806,32.90788,34.60261,33.12771,0.79504,0.73783,0.7044
14,0.89049,0.88127,0.87848,0.93328,0.90277,0.88659,0.95821,0.93013,0.93034,32.90926,34.69185,33.59675,0.79825,0.74518,0.70149
15,0.89131,0.88207,0.87944,0.93289,0.90263,0.87519,0.95893,0.92989,0.92789,32.90227,34.71122,33.05827,0.79448,0.74654,0.6982
16,0.89133,0.88217,0.87907,0.93372,0.90335,0.88462,0.95893,0.9305,0.92994,32.9518,34.73999,33.55186,0.7953,0.74775,0.71028
17,0.89209,0.8822,0.87934,0.93359,0.90233,0.88009,0.95926,0.93045,0.92945,32.98641,34.70559,33.30284,0.79929,0.74357,0.70124
18,0.89215,0.88233,0.88031,0.93373,0.90282,0.88403,0.95935,0.93053,0.93034,32.95719,34.72261,33.47755,0.79862,0.74351,0.70947
19,0.89203,0.88278,0.8807,0.93324,0.90158,0.88022,0.95955,0.93024,0.92953,32.94508,34.68171,33.29161,0.79798,0.74657,0.71245
20,0.89314,0.88256,0.88044,0.93351,0.90255,0.87535,0.96021,0.93061,0.92904,32.97329,34.71932,33.02834,0.79921,0.74807,0.70866
21,0.89292,0.88295,0.88002,0.93427,0.90131,0.8829,0.96007,0.93061,0.93047,33.06971,34.73066,33.44285,0.80861,0.75185,0.7119
22,0.89318,0.88363,0.88146,0.93388,0.90287,0.87398,0.96021,0.93128,0.92889,32.99541,34.69469,32.96295,0.80427,0.74741,0.70447
23,0.89228,0.8834,0.88105,0.93486,0.90477,0.88508,0.95958,0.93239,0.93114,32.99192,34.68737,33.50917,0.79783,0.73586,0.70663
24,0.89297,0.88382,0.88075,0.93459,0.90355,0.88076,0.96044,0.9321,0.93059,33.02021,34.75189,33.29116,0.80236,0.73962,0.70741
25,0.89374,0.88431,0.88072,0.9352,0.905,0.88429,0.96025,0.93236,0.93095,33.04047,34.78519,33.4876,0.80891,0.7471,0.70793
26,0.89223,0.8831,0.88119,0.93491,0.90597,0.88568,0.95976,0.93281,0.93141,32.94344,34.72441,33.56129,0.80215,0.73904,0.70692
27,0.89384,0.88587,0.88231,0.93536,0.90525,0.88801,0.96042,0.93293,0.93279,33.04188,34.82384,33.63483,0.80778,0.74908,0.70904
28,0.89415,0.88542,0.8822,0.93597,0.9054,0.88066,0.96049,0.93235,0.93049,33.10424,34.81906,33.30851,0.80608,0.75196,0.71962
29,0.89385,0.88543,0.88131,0.9355,0.90558,0.88046,0.96062,0.93283,0.93045,33.05886,34.84882,33.26962,0.80908,0.74867,0.70753
30,0.89435,0.88518,0.88164,0.93637,0.90598,0.88713,0.96027,0.93274,0.93219,33.14483,34.89302,33.60767,0.81316,0.75403,0.70564
31,0.89379,0.88669,0.88254,0.93597,0.90697,0.89008,0.96029,0.93353,0.93329,33.04996,34.87032,33.73902,0.8089,0.75735,0.71281
32,0.89364,0.88494,0.88142,0.93542,0.9053,0.89041,0.95985,0.93262,0.93321,33.00936,34.80917,33.73869,0.80284,0.7446,0.70929
33,0.89447,0.88565,0.88112,0.93589,0.90594,0.8886,0.96032,0.93309,0.93248,33.0764,34.85051,33.67671,0.80731,0.75324,0.70905
34,0.89442,0.88526,0.88102,0.9358,0.90338,0.88198,0.96046,0.93159,0.93097,33.12402,34.79439,33.34293,0.81657,0.76006,0.70576
35,0.89548,0.88635,0.8821,0.93582,0.90263,0.87894,0.96108,0.93153,0.93104,33.06896,34.74289,33.14862,0.81056,0.75823,0.7076
36,0.89408,0.88559,0.88149,0.93522,0.9051,0.88364,0.96087,0.93263,0.9316,33.0174,34.81718,33.40092,0.80104,0.74254,0.70621
37,0.89527,0.88564,0.88153,0.93639,0.90345,0.88746,0.96076,0.93239,0.93294,33.08577,34.761,33.59653,0.81395,0.75204,0.7127
38,0.8946,0.88651,0.88233,0.93636,0.90595,0.88994,0.96063,0.93319,0.93321,33.09182,34.85779,33.69816,0.81137,0.75568,0.71465
39,0.89549,0.88531,0.88155,0.9364,0.90622,0.89074,0.96112,0.93309,0.93348,33.12373,34.90971,33.75597,0.81173,0.75447,0.71346
40,0.89478,0.8855,0.88166,0.93625,0.90592,0.89099,0.96109,0.93328,0.93387,33.05819,34.81108,33.74659,0.80694,0.74623,0.71127
