ps,t4,t5,t6
47,0.8906050594600536,0.8812462694742175,0.87524345446525
44,0.8914257283296196,0.8830424377526914,0.8774382310458934
41,0.8923765738463393,0.885129762716692,0.879931899515112
38,0.8935068982586648,0.8875077894253967,0.8827306642948525
35,0.8948072377629583,0.890201606763792,0.8858217528049095
32,0.8963367646719215,0.8931858395142299,0.8892348416822651
29,0.8981921945936999,0.8965066885774023,0.8930398367779165
26,0.9004133026269998,0.9001921779631078,0.8972693756090709
23,0.9030702569281958,0.9042603655830312,0.9019118278383769
20,0.9063443594452482,0.9088590152080095,0.9069178493886523
17,0.91039923755769,0.9140511604750176,0.9122267116761202
14,0.9156689459162978,0.9197497698689501,0.9177521604541797
11,0.9221243394536642,0.925110595181654,0.9231981451485913
