ps,t4,t5,t6
48,0.8837287694808303,0.8678266978480017,0.8621520595828766
47,0.8840363106265455,0.8685375204993464,0.862978955101896
46,0.8843526229239105,0.869273961338142,0.8638374306930605
45,0.8846806003686443,0.8700449530509429,0.8647303622804018
44,0.8850245284470968,0.8708481381378257,0.8656572455532128
43,0.8853811723579755,0.8716889678881848,0.8666200894892627
42,0.8857518138049181,0.8725629203853029,0.8676194958401231
41,0.8861444477713198,0.8734740615144223,0.8686508247821222
40,0.8865559886524038,0.8744172239035694,0.8697221810257207
39,0.8869878306843939,0.8754012057593905,0.8708292930134096
38,0.8874359356606827,0.8764257666784554,0.8719781974579359
37,0.8879053096536202,0.8774928677051322,0.8731656050322757
36,0.8883960986691531,0.8786039461677975,0.87439243005048
35,0.8889144398069369,0.8797519980656321,0.8756615850823283
34,0.8894628153436959,0.8809368553031421,0.8769767662108675
33,0.8900363315638014,0.8821699380310943,0.8783382575927218
32,0.8906496930207213,0.8834441728011635,0.8797539752644455
31,0.8912998539208559,0.8847657762010479,0.8812261297741635
30,0.8919949551515475,0.8861387085102788,0.8827530687128837
29,0.8927370374343881,0.887564193559003,0.8843269202694161
28,0.8935247057002599,0.8890381231699763,0.8859646116595414
27,0.8943460626586724,0.8905720254971983,0.8876738299903802
26,0.8952182033513443,0.8921604181022971,0.8894462746792717
25,0.8961507015626592,0.8937787513233161,0.8912516604783977
24,0.8971483675197824,0.8954304391883681,0.8931299333827856
23,0.8982088808279937,0.8971559468060346,0.8950420045872366
22,0.8993446724404266,0.8989574956764582,0.8970022747722389
21,0.900558862105153,0.9008237625935845,0.8990144167788517
20,0.9018657771370152,0.9027565396923758,0.9010571979289079
19,0.9032571780448242,0.9047798947921003,0.9031524452683216
18,0.9047524532971543,0.9068538297867489,0.9052693188079663
17,0.906363168218924,0.9089877362132656,0.9074057340694784
16,0.9081204158555247,0.9111313889929621,0.9095502404588546
15,0.9100623274090303,0.9133465831568203,0.9117343230156979
14,0.9121101125990235,0.9155939873774678,0.9139136771077432
13,0.9142953565946641,0.91777854816404,0.9160883726257936
12,0.9166207778773084,0.9198593160139276,0.9182517018479727
11,0.9191363315481468,0.9218477921497177,0.9202875843642643
10,0.9218874582089334,0.9237074489331825,0.9222923149053098
9,0.9247095560112236,0.9255215512145725,0.9241960130950058
8,0.9273842313289713,0.9272553015435315,0.9261920575279214
7,0.929723674084913,0.9289105189321722,0.9280643943628532
6,0.9315641196558369,0.9302326863336201,0.9298041670614569
