max shift,t4,t5,t6
48,0.9397472000913056,0.9180466101883341,0.9228902372396218
45,0.9430964851203281,0.9180088877520691,0.9221415147596815
42,0.9462519511369072,0.9174789322289726,0.9209594516040417
39,0.9491709829563515,0.9163509469391521,0.9192358275612901
36,0.9517664617743574,0.9144949351827876,0.9168185058501647
33,0.9538547209700168,0.9117218218825194,0.9136343248477231
30,0.9553186642671456,0.9079845784422363,0.9096263289444407
27,0.9559812397720431,0.9031127753061448,0.9047563707196317
24,0.9556641053086623,0.8970145563626181,0.8989817591667849
21,0.9542097669767343,0.8897731509110743,0.8925274963058768
18,0.9516150799391511,0.8820302229934979,0.886133005900062
15,0.9480651913781724,0.8751990473272452,0.8814885638975662
12,0.9442124473386017,0.8721573823051344,0.8816763670274307
9,0.9420544234342686,0.8775496569102591,0.8912955207284029
