max shift,t4,t5,t6
47,0.6355233975819999,0.6229240535865733,0.6232552651479287
44,0.6467649186179223,0.6323271060641574,0.630273328962765
41,0.6599358877237713,0.6415236340997403,0.6384332675384575
38,0.6719291952922658,0.6517630535414607,0.6471927894817883
35,0.6843501776643767,0.6615622077969769,0.6555891169255237
32,0.6969705327595097,0.6701500752557209,0.6642527114607475
29,0.7091399682941371,0.6790947838055862,0.6730321549304528
26,0.7209872023655793,0.6882495948068226,0.6809330362605438
23,0.732505675060476,0.6984281769381924,0.6886451174211811
20,0.7421010828538267,0.7033010757029856,0.6955186012190618
17,0.7523577697851574,0.7134963901509749,0.7048954079180211
14,0.7628798382395687,0.7271668444236549,0.7170734481241166
11,0.7741167040292392,0.7455183927087874,0.7364729900173391
8,0.7868168018806692,0.7701818155328323,0.7581047402582951
