patch size,t4,t5,t6
48,33.50772964187643,35.82972981884002,34.69740337045804
45,33.26732703304695,35.60005240655158,34.470489516935544
42,33.012192771713494,35.358646338597914,34.23311081369343
39,32.740299681859355,35.10400417997784,33.98375552011632
36,32.45172388561687,34.836193461676466,33.7207106959334
33,32.14312605614691,34.553863024112445,33.443236120757376
30,31.81116879514782,34.25435666685818,33.14963521885539
27,31.45253290422207,33.933872491059994,32.83835555174897
24,31.06523383298462,33.58862040996053,32.505836118234704
21,30.64395069200873,33.2170029578302,32.14936093321875
18,30.180994431383414,32.81768910811126,31.765643997248574
15,29.66483818875328,32.38365505980361,31.34974635133462
12,29.080039478086057,31.904142360996897,30.89903084554329
9,28.430305666851112,31.376675818877835,30.406378598475275
