patch size,t4,t5,t6
48,33.50772964187643,35.82972981884002,34.69740337045804
47,33.429080350359534,35.754470666121506,34.62282624156521
46,33.348982356959056,35.67789119906312,34.54718594423855
45,33.26732703304695,35.60005240655158,34.470489516935544
44,33.1840494386703,35.52096977437518,34.39264637028265
43,33.099034514545,35.44052612940649,34.31352451622028
42,33.012192771713494,35.358646338597914,34.23311081369343
41,32.92347956073981,35.27524194323754,34.1514091163748
40,32.83286224157472,35.19036091578236,34.068312260323374
39,32.740299681859355,35.10400417997784,33.98375552011632
38,32.645830900964974,35.016197892658184,33.89765319400283
37,32.5497081290507,34.926945389966924,33.80995994696147
36,32.45172388561687,34.836193461676466,33.7207106959334
35,32.35123969970015,34.74375943742747,33.62987335716857
34,32.248409780265774,34.6497287851116,33.53737988063382
33,32.14312605614691,34.553863024112445,33.443236120757376
32,32.035117405517404,34.456060831122755,33.347270877840465
31,31.92451813304569,34.35626806920774,33.24944144753654
30,31.81116879514782,34.25435666685818,33.14963521885539
29,31.6947203083121,34.1501030565864,33.04786886295614
28,31.575070760053883,34.0432709796063,32.9441490144284
27,31.45253290422207,33.933872491059994,32.83835555174897
26,31.327048532560994,33.82163234609028,32.73016236629107
25,31.19776087658363,33.70644201622832,32.61924633587181
24,31.06523383298462,33.58862040996053,32.505836118234704
23,30.928818744614095,33.46798423079535,32.38997058407605
22,30.788521654928036,33.344162722369916,32.27121634600706
21,30.64395069200873,33.2170029578302,32.14936093321875
20,30.494702934296637,33.086800158445364,32.0244839943727
19,30.340242673246195,32.95400235663045,31.896698659331406
18,30.180994431383414,32.81768910811126,31.765643997248574
17,30.015554609738707,32.67719391427076,31.630678227274903
16,29.843439817802466,32.53235795590572,31.49201927035294
15,29.66483818875328,32.38365505980361,31.34974635133462
14,29.478477321487983,32.230204832734245,31.204265751717443
13,29.283127928008206,32.070727941754825,31.054402312410758
12,29.080039478086057,31.904142360996897,30.89903084554329
11,28.870509089321427,31.73248103387074,30.738660583382845
10,28.653730739061636,31.555633720501916,30.573579925188508
9,28.430305666851112,31.376675818877835,30.406378598475275
8,28.200806196229973,31.193581341357664,30.2358465631897
7,27.969508909464746,31.007186363517555,30.063147752349742
6,27.75503614692346,30.819097984514745,29.890798546947554
