max shift,t4,t5,t6
48,0.9365811342976565,0.9221009169815796,0.9268338815094819
45,0.9404111353123267,0.9234052789903843,0.9273304242469776
42,0.9439865838460834,0.924388824060877,0.927515939469696
39,0.9472986637297979,0.9250288037331311,0.9273700158667478
36,0.9502687604935135,0.925297922411406,0.9268301160548796
33,0.9527499089054989,0.9251158612259934,0.9259184458835141
30,0.9546263715342211,0.9245087219220177,0.9246311852862487
27,0.9556619890832944,0.9234369044488742,0.9229554661791618
24,0.9555691503154587,0.9220191630712922,0.9208949695202348
21,0.9539785632699105,0.9204509159787152,0.9185092879130536
18,0.9504675026377225,0.9191975115466043,0.9160648888372956
15,0.9442967734752521,0.9189757641718758,0.9139914174712005
12,0.9334914640150137,0.9198937314161131,0.9118527409747456
9,0.912637781626691,0.9196561475323053,0.9062011618301518
