max shift,t4,t5,t6
48,0.8654276352410911,0.9081587205054114,0.8997626436062688
47,0.8648946779429779,0.907696560401277,0.8991389539949745
46,0.8643303581040881,0.9072169967513584,0.8984935876766235
45,0.8637395387565804,0.906719622234319,0.897826357792867
44,0.8631189802883767,0.9062014437222211,0.8971338507543689
43,0.8624688368623974,0.9056616211798263,0.8964136717607909
42,0.8617889926188573,0.9050994050759466,0.8956646668263016
41,0.8610722168554034,0.9045123981145154,0.894886961812804
40,0.8603204515698168,0.9038992086585442,0.8940776142638305
39,0.8595335890454876,0.9032582483586153,0.8932343472811733
38,0.8587070052377859,0.9025900299815826,0.8923537753726368
37,0.8578430984447004,0.9018916888995372,0.8914324089194408
36,0.8569359815486186,0.901162035691745,0.8904704709338753
35,0.8559740188779605,0.9003985056126789,0.8894651414555178
34,0.8549604854062365,0.8995971036601587,0.888414892500934
33,0.8538903287916949,0.8987554364358857,0.887317875884467
32,0.8527560560217627,0.897872056065945,0.8861660962386212
31,0.8515550610546176,0.8969407701738707,0.8849531076430369
30,0.8502773739285389,0.8959583460346888,0.8836715403480698
29,0.8489138718875039,0.8949243994670539,0.8823204659697019
28,0.8474645192098126,0.8938323463649752,0.880896293320392
27,0.8459294825230772,0.8926892512870631,0.8794004478455157
26,0.844301161004076,0.8914919289951424,0.87782527121514
25,0.842557729444344,0.890233101217395,0.8761562251360323
24,0.8406924764940003,0.8889166880290007,0.8743876927817947
23,0.8386880627215505,0.8875392074914038,0.872509827990393
22,0.836531677850133,0.8860792622458668,0.87050812180571
21,0.8342034165655055,0.8845308086029816,0.868382769810955
20,0.8316744488824246,0.8828810403652091,0.8661199909914652
19,0.828925235158226,0.8811585708975441,0.8637190898512076
18,0.8259231261072754,0.879328977498248,0.861184922681355
17,0.8226473412848381,0.8773741513752807,0.8585177077338569
16,0.8190717020776869,0.8753051290941104,0.8556874039731386
15,0.815160890448269,0.8731124286057015,0.8526802607771051
14,0.8109250709388939,0.8708250081290067,0.8495307831535556
13,0.8063575716555657,0.8684677970752827,0.846206362070864
12,0.8015104720567772,0.8659519808799424,0.8426332559348263
11,0.7963929096528728,0.8633116953588521,0.8388637691087196
10,0.7909522087723982,0.860545439926223,0.8350805906288116
9,0.7852194228812693,0.857839960011233,0.8317829374412484
8,0.7793026918358017,0.8557752237097338,0.8299647039594388
7,0.7741447317384994,0.8554682435443952,0.8316596593622535
6,0.7735403237637243,0.8595765370579905,0.8402981853909225
