ubr,t4,t5,t6
15,0.8311322876110977,0.8092514164248094,0.7875341584317915
14,0.8263294715773887,0.8101651803365789,0.789309683290529
13,0.8208312645028152,0.8109996963311272,0.790846568761541
12,0.8147002333075751,0.8111470276640699,0.7922462206254596
11,0.8084266396246443,0.8107695260911075,0.7931675372324674
10,0.8024500826986681,0.8093055003234123,0.7936112186450697
9,0.7964720978573543,0.8071387379404754,0.7930230758009932
8,0.7916231777701448,0.8048039654953587,0.7920120851384574
7,0.787684392723226,0.8021164549772323,0.7906888830949824
6,0.7849684155977004,0.7996828863573013,0.7887378078346566
5,0.7830387311925225,0.7980756983221323,0.7863470083125903
