max shift,t4,t5,t6
47,0.6346489116442333,0.634074129002878,0.6336649766999608
44,0.6464155389211166,0.6446146905707502,0.6449255444671161
41,0.6578865644333972,0.6552239944993211,0.6564702097672772
38,0.6691563494114857,0.6664108019321594,0.6678630708798103
35,0.6815877393613611,0.6770876951521824,0.6778620021100917
32,0.6943225213557603,0.6864871268526137,0.6875020117008578
29,0.7054669252328422,0.6949503400325165,0.6946020291378606
26,0.7163287275443666,0.7027957202645937,0.699532516372694
23,0.7258352192355448,0.7091569823780621,0.7027035768312352
20,0.732760150834092,0.7128095279756808,0.7064952473268169
17,0.7363642700182279,0.7174689966084986,0.7126738801659193
14,0.7364449052628539,0.7221647712404041,0.7175629495137239
11,0.7294201972169819,0.725091377007094,0.7224918373184591
8,0.7169110264666245,0.7307499346766281,0.7252760312443627
