ps,t4,t5,t6
47,0.8297058499840512,0.8596280179024072,0.8342244312212239
44,0.8300138243102634,0.8617464883701265,0.8342496340206796
41,0.8304137157675899,0.8648758675126245,0.832936253058923
38,0.8309317522884871,0.867148469781361,0.8383206819040621
35,0.8316313917204671,0.8695429401156266,0.8425536473516558
32,0.8326138884155175,0.8724195886868001,0.8481652615527775
29,0.8339239767286513,0.8758658791428445,0.8520299112278434
26,0.8343249019226654,0.8798664516651155,0.8572146882697586
23,0.8344297489093512,0.8838956960751716,0.8652619838181033
20,0.833023357333666,0.8883275549977342,0.8754935796355894
17,0.8418929340479498,0.8946538083218903,0.8859475050832527
14,0.8594717812440922,0.9033854140295929,0.8959494545228476
11,0.8763190606702392,0.9106269659074329,0.9035483387201111
