ps,t4,t5,t6
48,0.798688556425306,0.8296428090008549,0.803326849010065
47,0.7991544708526591,0.8305920747905474,0.8031980777655136
46,0.7987565044894483,0.8318027708400134,0.8048228484308837
45,0.7986923212024817,0.8324735508213849,0.8067330623488632
44,0.7994124232680455,0.8332977403122598,0.806185639509101
43,0.7999410217755778,0.8341012350101326,0.806597367304218
42,0.7998248830348845,0.8351100733216129,0.8067897220407749
41,0.8005762209434415,0.835535241064853,0.8072464539303763
40,0.8008455455403726,0.8356280784927743,0.8090788325049502
39,0.8009348275856605,0.8356879211151494,0.8118695100805093
38,0.80104022073135,0.8351241719443752,0.8144063166905895
37,0.8012721972294757,0.8340757308232484,0.8163517985192963
36,0.8003228117727491,0.8350517880140416,0.8175191087306116
35,0.7973496784059672,0.8370215504462114,0.8194617218596256
34,0.7976731736238135,0.839197096496121,0.8215280902486543
33,0.7999262128555341,0.8412036476628691,0.8238827660194084
32,0.8029249461050347,0.8433887705492074,0.8259067504361262
31,0.8059295826893105,0.8454484508908005,0.8287415185937532
30,0.8085692378183535,0.8475511274538646,0.8311044409554558
29,0.8105599539977321,0.8496963105516943,0.8323770143569581
28,0.8125211659798707,0.8518903869340214,0.8338932900243401
27,0.8140864805637821,0.8529960183289956,0.8368569362472998
26,0.8151555524141451,0.8539399654490389,0.8376424773351792
25,0.8158968868590831,0.854275184532131,0.8397227166584207
24,0.8156846157946825,0.8560446479736102,0.8426450154823244
23,0.8148879121117811,0.8584648979496537,0.8444381380686797
22,0.8146453659611159,0.8626864444205232,0.8462620687085538
21,0.8171968609545395,0.8658914591237071,0.8485226635223329
20,0.817901223562034,0.868038215797719,0.8531647393518874
19,0.8200660144036611,0.8709258398614685,0.857811242078435
18,0.8238523992757287,0.8741013501525567,0.8627124244456991
17,0.829475683412967,0.8776737988270443,0.8681836099470488
16,0.835641000220533,0.8812667232017932,0.874716630042935
15,0.841883267477872,0.8854248238675957,0.8794273839121349
14,0.8487871385736723,0.8897606811421819,0.884060549250545
13,0.8538593187173085,0.8933366316615783,0.8880913117495728
12,0.8612405390792824,0.8961152627957941,0.8923398010875412
11,0.8677288782287639,0.9002719531107467,0.8958782291904233
10,0.8759017755920288,0.9052502158642314,0.8965517387126138
9,0.8818109055750449,0.9085216935382467,0.8968348961973045
8,0.8862159462997743,0.9106293233070026,0.899740762000359
7,0.8881609413789872,0.9121442085305127,0.9032362786235112
6,0.8868251189523019,0.9124496883266608,0.9062228468765772
