patch size,t4,t5,t6
48,21.94022137318888,24.74694536110412,23.50476204687794
47,21.8545343677816,24.665020703856595,23.423568676997032
46,21.767206601401693,24.581609462425767,23.34094334665123
45,21.678202070018326,24.496701845382386,23.256838402578364
44,21.58747412464502,24.41026124059349,23.171195123801837
43,21.49492670017959,24.322210915605595,23.08394424086641
42,21.400489770329493,24.232467613794313,22.99502971674576
41,21.304067420158976,24.140946832941395,22.904367209268333
40,21.2055454408252,24.047556782396573,22.811863142386386
39,21.10486207817727,23.95223370699062,22.717448966564056
38,21.001911732530363,23.854871783126402,22.621029553591118
37,20.896614867569244,23.75538791239256,22.52251593298872
36,20.788858402920862,23.653682784511503,22.421832800232497
35,20.67848557680387,23.549634641024515,22.3188761468768
34,20.565375148994786,23.443128797406114,22.213555068133946
33,20.44936698079918,23.33402830817033,22.105749261607635
32,20.330315229430987,23.22219682230528,21.995313872380464
31,20.208045049250355,23.107509715653446,21.882075867600392
30,20.082378202036853,22.989832672248582,21.765909539463483
29,19.953142349748646,22.86897618853622,21.646632917347095
28,19.82013363882152,22.74477143039475,21.5241018813963
27,19.683136631498435,22.61706667879861,21.39818682906784
26,19.541866239603984,22.485605412922204,21.268663964565867
25,19.39601943233983,22.350175137694094,21.135248107264765
24,19.24540633041087,22.210617742159695,20.997743082010306
23,19.089623545179695,22.06663104079501,20.85588487200623
22,18.928301048073905,21.917857134888504,20.70937487245247
21,18.761006393854508,21.763945952143317,20.55792674923642
20,18.587256993989627,21.604616292246263,20.401152602550265
19,18.406617441946924,21.43956227672812,20.238678593617305
18,18.218419908748658,21.268098586355574,20.070042218508657
17,18.0218762365839,21.089603743452823,19.8946672274411
16,17.81631291112313,20.903621502237108,19.71207769252331
15,17.601003280592582,20.709729032610852,19.52174288380156
14,17.37483766164705,20.50717269540887,19.323098554883284
13,17.13672444145165,20.295027446365335,19.115489582171413
12,16.885672000177163,20.072421800619132,18.89824271547437
11,16.620707961015654,19.838962417926158,18.671112362806245
10,16.34098538550212,19.594721201881054,18.433897723167718
9,16.045941960946095,19.339821761662208,18.18642611404579
8,15.73581000672903,19.074808411429217,17.929721591513335
7,15.411976062429813,18.80188365742848,17.66643689160564
6,15.085511580297949,18.53265299098763,17.410207765000468
